City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Saint George,US,87.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
38,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
43,Ciudad Bolivar,VE,85.12,overcast clouds,8.1222,-63.5497,Hotel Edi
69,French Harbor,HN,85.06,scattered clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
86,West Odessa,US,85.05,clear sky,31.8424,-102.4988,Corporate Mobile Housing
149,Doha,QA,85.98,clear sky,25.2867,51.5333,Mövenpick Doha
152,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
169,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
198,Lompoc,US,86.14,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
200,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
261,Santa Cruz,BO,86.05,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
281,San Patricio,US,85.17,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
285,San Francisco,US,85.84,few clouds,37.7749,-122.4194,Edwardian Hotel
289,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
301,Cartagena,CO,85.62,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
351,Sao Felix Do Xingu,BR,86.23,few clouds,-6.6447,-51.995,Rio Xingu Camping
354,Kailua,US,87.78,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
378,Nkoyaphiri,BW,85.44,clear sky,-24.6322,25.8314,Sunbeam Hotel
384,Topeka,US,85.51,clear sky,39.0483,-95.678,Hotel Topeka At City Center
428,Ewa Beach,US,87.75,broken clouds,21.3156,-158.0072,Base Lodging
433,Dehloran,IR,87.51,clear sky,32.6941,47.2679,کافه گیم استورم
439,Kifri,IQ,86.2,clear sky,34.6959,44.9661,بيت نزهان الحديدي
448,Manaus,BR,86.49,few clouds,-3.1019,-60.025,Manaus Hotéis Millennium
456,Tambacounda,SN,86.05,clear sky,13.7539,-13.7586,
460,San Ignacio,BZ,87.94,few clouds,17.1561,-89.0714,Rainforest Haven Inn
495,Barra Do Corda,BR,86.58,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
519,Manicore,BR,87.75,clear sky,-5.8092,-61.3003,Hotel Durval
524,Uvalde,US,85.32,clear sky,29.3669,-99.767,
551,Lagunas,PE,86.34,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
652,Salinas,US,86.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
674,San Rafael Del Sur,NI,88.77,broken clouds,11.8485,-86.4384,Hospedaje El Chino
