City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,58.17,91,97,14.52,overcast clouds
1,Busselton,AU,-33.65,115.3333,55.81,73,93,13.38,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,51.91,62,0,16.11,clear sky
3,Longyearbyen,SJ,78.2186,15.6401,39.04,70,75,8.05,broken clouds
4,Castro,BR,-24.7911,-50.0119,60.62,77,0,0.54,clear sky
5,Hermanus,ZA,-34.4187,19.2345,51.8,69,2,0.38,clear sky
6,Punahana,IN,27.8667,77.2,79.93,60,29,5.06,scattered clouds
7,Saint George,US,37.1041,-113.5841,87.44,25,0,3.0,clear sky
8,Rikitea,PF,-23.1203,-134.9692,69.71,64,68,24.27,broken clouds
9,Alihe,CN,50.5667,123.7167,23.34,53,49,3.62,scattered clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,59.09,77,25,14.97,scattered clouds
11,Kaitangata,NZ,-46.2817,169.8464,38.7,92,72,14.05,light rain
12,Zaterechnyy,RU,44.7931,45.2097,62.74,76,86,4.92,overcast clouds
13,Lavrentiya,RU,65.5833,-171.0,36.82,70,16,4.63,few clouds
14,Hilo,US,19.7297,-155.09,91.27,64,20,11.5,few clouds
15,Albi,FR,43.9298,2.148,64.45,75,5,1.99,clear sky
16,Hobart,AU,-42.8794,147.3294,49.26,76,75,8.05,broken clouds
17,East London,ZA,-33.0153,27.9116,62.28,79,30,10.94,scattered clouds
18,Bluff,NZ,-46.6,168.3333,38.8,74,99,28.97,overcast clouds
19,Seltso,RU,53.3675,34.1,45.09,93,100,6.71,overcast clouds
20,Bengkulu,ID,-3.8004,102.2655,75.15,91,100,4.83,light rain
21,Fortuna,US,40.5982,-124.1573,66.92,71,84,1.99,broken clouds
22,Onda,ES,39.9667,-0.25,65.16,81,0,2.68,clear sky
23,Geraldton,AU,-28.7667,114.6,57.61,88,75,2.3,broken clouds
24,Meulaboh,ID,4.1363,96.1285,73.44,98,100,4.61,light rain
25,Jamestown,US,42.097,-79.2353,58.05,44,100,6.91,overcast clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,84,5.01,broken clouds
27,Kapaa,US,22.0752,-159.319,84.18,76,40,14.97,light rain
28,Chokurdakh,RU,70.6333,147.9167,20.93,94,99,6.67,light snow
29,Tigzirt,DZ,36.8886,4.1198,70.32,72,57,5.61,broken clouds
30,Cidreira,BR,-30.1811,-50.2056,59.47,81,0,7.74,clear sky
31,Batticaloa,LK,7.7102,81.6924,80.47,74,100,4.03,overcast clouds
32,Christchurch,NZ,-43.5333,172.6333,42.91,88,75,14.97,light rain
33,Cabo San Lucas,MX,22.8909,-109.9124,90.61,70,20,6.91,few clouds
34,Nome,US,64.5011,-165.4064,46.47,81,75,12.66,broken clouds
35,Hofn,IS,64.2539,-15.2082,46.24,87,100,7.67,overcast clouds
36,Kruisfontein,ZA,-34.0033,24.7314,51.89,87,76,1.43,broken clouds
37,Gao,ML,16.6362,1.637,95.02,21,82,8.12,broken clouds
38,Ixtapa,MX,20.7,-105.2,85.23,74,100,9.22,overcast clouds
39,San Quintin,MX,30.4833,-115.95,72.57,75,19,12.1,few clouds
40,Waipawa,NZ,-41.4122,175.5153,54.03,70,29,19.71,scattered clouds
41,Souillac,MU,-20.5167,57.5167,70.18,83,40,6.91,scattered clouds
42,Hithadhoo,MV,-0.6,73.0833,82.33,71,99,18.59,overcast clouds
43,Ciudad Bolivar,VE,8.1222,-63.5497,85.12,63,88,0.51,overcast clouds
44,Clinton,US,42.587,-82.9199,72.95,53,5,3.02,clear sky
45,Mataura,NZ,-46.1927,168.8643,37.47,100,100,9.51,light rain
46,Provideniya,RU,64.3833,-173.3,41.36,81,75,4.47,broken clouds
47,Srandakan,ID,-7.9386,110.2506,75.88,87,87,2.66,overcast clouds
48,Beringovskiy,RU,63.05,179.3167,40.5,85,94,9.28,overcast clouds
49,Mount Isa,AU,-20.7333,139.5,69.57,100,100,9.22,overcast clouds
50,Challans,FR,46.8436,-1.8749,59.97,93,90,7.38,overcast clouds
51,Mahebourg,MU,-20.4081,57.7,70.25,83,40,6.91,scattered clouds
52,Aklavik,CA,68.2191,-135.0107,32.16,93,8,12.66,clear sky
53,Cape Town,ZA,-33.9258,18.4232,61.38,61,0,5.75,clear sky
54,Thompson,CA,55.7435,-97.8558,57.36,44,40,5.75,scattered clouds
55,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,86,20,14.97,few clouds
56,Ambovombe,MG,-25.1667,46.0833,67.69,84,0,6.13,clear sky
57,Mount Gambier,AU,-37.8333,140.7667,51.87,87,100,11.34,light rain
58,Avarua,CK,-21.2078,-159.775,78.85,69,75,20.71,broken clouds
59,Fort Nelson,CA,58.8053,-122.7002,49.59,57,75,10.36,smoke
60,Kargasok,RU,59.0556,80.8572,38.34,98,100,9.8,overcast clouds
61,Lodja,CD,-3.4833,23.4333,68.77,97,93,0.6,light rain
62,Ushuaia,AR,-54.8,-68.3,51.46,54,40,10.36,scattered clouds
63,Herran,CO,7.5061,-72.4833,66.4,91,86,0.47,light rain
64,Vaini,TO,-21.2,-175.2,82.56,78,75,5.75,broken clouds
65,Atuona,PF,-9.8,-139.0333,76.55,70,18,20.45,few clouds
66,Norman Wells,CA,65.282,-126.8329,39.24,81,75,12.66,broken clouds
67,Labuhan,ID,-6.8844,112.2051,76.8,83,92,6.91,overcast clouds
68,Baijiantan,CN,45.6333,85.1833,50.83,23,84,1.7,broken clouds
69,French Harbor,HN,16.35,-86.4333,85.06,84,40,8.05,scattered clouds
70,Pahrump,US,36.2083,-115.9839,93.25,15,1,5.99,clear sky
71,Marsh Harbour,BS,26.5412,-77.0636,79.93,70,10,7.31,clear sky
72,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,100,100,4.47,light intensity shower rain
73,Caravelas,BR,-17.7125,-39.2481,75.87,74,61,13.2,broken clouds
74,Yerbogachen,RU,61.2767,108.0108,27.39,72,83,8.61,broken clouds
75,Barrow,US,71.2906,-156.7887,30.22,93,100,3.44,overcast clouds
76,Solano,US,38.2333,-121.9511,90.9,41,0,6.91,clear sky
77,Pevek,RU,69.7008,170.3133,26.1,82,73,6.31,broken clouds
78,Butaritari,KI,3.0707,172.7902,81.0,78,16,13.8,light rain
79,Talnakh,RU,69.4865,88.3972,33.21,99,100,3.27,light snow
80,Khagaria,IN,25.5,86.4833,74.62,96,100,9.8,overcast clouds
81,Raudeberg,NO,61.9875,5.1352,48.96,1,78,21.39,broken clouds
82,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,94,91,4.61,light rain
83,Ribeira Grande,PT,38.5167,-28.7,71.85,79,74,7.58,broken clouds
84,Valparaiso,CL,-33.0393,-71.6273,57.43,82,0,9.22,clear sky
85,Bonavista,CA,48.6499,-53.1147,54.88,68,2,18.1,clear sky
86,West Odessa,US,31.8424,-102.4988,85.05,36,0,9.22,clear sky
87,Gilgit,PK,35.9221,74.3087,66.38,39,4,1.45,clear sky
88,Khani,GE,41.9563,42.9566,54.97,94,100,0.36,overcast clouds
89,Powell River,CA,49.8496,-124.5361,70.03,60,75,13.8,smoke
90,Vao,NC,-22.6667,167.4833,68.31,60,5,9.28,clear sky
91,Esil,KZ,51.9556,66.4042,42.33,37,24,4.18,few clouds
92,Dolny Kubin,SK,49.2098,19.3034,43.93,92,47,1.9,scattered clouds
93,Codrington,AU,-38.2667,141.9667,51.4,93,100,18.95,moderate rain
94,Tiksi,RU,71.6872,128.8694,21.24,86,100,13.49,overcast clouds
95,Humboldt,US,40.6665,-123.9178,76.68,45,70,6.53,broken clouds
96,Panjab,AF,34.388,67.0233,41.45,27,0,4.92,clear sky
97,Millerovo,RU,48.9226,40.3967,51.87,84,12,6.51,few clouds
98,New Norfolk,AU,-42.7826,147.0587,48.92,66,100,1.01,overcast clouds
99,Campo Bom,BR,-29.6789,-51.0533,63.9,74,0,4.23,clear sky
100,Port Elizabeth,ZA,-33.918,25.5701,58.32,91,0,2.3,clear sky
101,Nishihara,JP,26.1842,127.7558,79.88,89,20,5.75,few clouds
102,Yatou,CN,37.15,122.3833,49.26,54,10,17.92,clear sky
103,Luhacovice,CZ,49.0998,17.7575,46.11,91,74,2.66,broken clouds
104,Nantucket,US,41.2835,-70.0995,62.71,94,100,16.11,mist
105,Abha,SA,18.2164,42.5053,64.65,22,0,4.61,clear sky
106,Dikson,RU,73.5069,80.5464,33.24,87,100,18.34,overcast clouds
107,Hanyang,CN,32.1371,105.5126,56.17,92,100,4.61,overcast clouds
108,Khasan,RU,42.4308,130.6434,38.8,54,0,10.09,clear sky
109,Carnarvon,AU,-24.8667,113.6333,65.82,76,0,10.22,clear sky
110,Esperance,AU,-33.8667,121.9,56.55,84,3,17.6,clear sky
111,Kalachinsk,RU,55.0529,74.5751,40.84,73,100,7.16,overcast clouds
112,Nikolskoye,RU,59.7035,30.7861,43.81,96,72,1.19,broken clouds
113,Trairi,BR,-3.2778,-39.2689,78.15,78,100,11.61,overcast clouds
114,Poum,NC,-20.2333,164.0167,73.15,65,7,8.95,clear sky
115,Broome,US,42.2506,-75.833,54.19,77,100,8.05,light rain
116,Peniche,PT,39.3558,-9.3811,61.29,87,0,9.48,clear sky
117,Barth,DE,54.3635,12.7249,55.06,80,98,13.65,overcast clouds
118,Pierre,US,44.3683,-100.351,58.12,100,100,5.75,moderate rain
119,Bredasdorp,ZA,-34.5322,20.0403,48.92,81,1,3.33,clear sky
120,Kulu,TR,39.0951,33.0799,59.65,55,98,7.45,light rain
121,Mackenzie,CA,55.2999,-123.1698,59.22,55,0,5.75,clear sky
122,Juneau,US,58.3019,-134.4197,58.1,90,100,0.0,light rain
123,Harta,HU,46.6985,19.0305,52.11,75,9,4.83,clear sky
124,Bowen,AU,-20.0167,148.2333,75.04,71,70,16.51,broken clouds
